Release 8.1i - Fit P.58f
Copyright(c) 1995-2003 Xilinx Inc. All rights reserved

 1-16-2016  4:35AM

NOTE: This file is designed to be imported into a spreadsheet program
such as Microsoft Excel for viewing, printing and sorting. The comma ','
character is used as the data field separator.
This file is also designed to support parsing.

Input file:  NEO257.ngd
output file: NEO257_pad.csv
Part type:   xc9572xl
Speed grade: -10
Package:     tq100

Pinout by Pin Number:

-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,{blank},Slew Rate,Termination,{blank},Voltage,Constraint,
P1,TIE,,I/O,,,,,,,,,,
P2,TIE,,.,,,,,,,,,,
P3,TIE,,I/O/GTS1,,,,,,,,,,
P4,TIE,,I/O/GTS2,,,,,,,,,,
P5,VCC,,VCCINT,,,,,,,,,,
P6,A<12>,I,I/O,INPUT,,,,,,,,,
P7,TIE,,.,,,,,,,,,,
P8,B<12>,I,I/O,INPUT,,,,,,,,,
P9,A<13>,I,I/O,INPUT,,,,,,,,,
P10,B<13>,I,I/O,INPUT,,,,,,,,,
P11,Y<12>,O,I/O,OUTPUT,,,,,,,,,
P12,Y<13>,O,I/O,OUTPUT,,,,,,,,,
P13,Y<14>,O,I/O,OUTPUT,,,,,,,,,
P14,Y<15>,O,I/O,OUTPUT,,,,,,,,,
P15,A<14>,I,I/O,INPUT,,,,,,,,,
P16,B<14>,I,I/O,INPUT,,,,,,,,,
P17,A<15>,I,I/O,INPUT,,,,,,,,,
P18,B<15>,I,I/O,INPUT,,,,,,,,,
P19,TIE,,.,,,,,,,,,,
P20,TIE,,I/O,,,,,,,,,,
P21,GND,,GND,,,,,,,,,,
P22,TIE,,I/O/GCK1,,,,,,,,,,
P23,TIE,,I/O/GCK2,,,,,,,,,,
P24,TIE,,.,,,,,,,,,,
P25,TIE,,I/O,,,,,,,,,,
P26,VCC,,VCCIO,,,,,,,,,,
P27,TIE,,I/O/GCK3,,,,,,,,,,
P28,A<0>,I,I/O,INPUT,,,,,,,,,
P29,B<0>,I,I/O,INPUT,,,,,,,,,
P30,A<1>,I,I/O,INPUT,,,,,,,,,
P31,GND,,GND,,,,,,,,,,
P32,B<1>,I,I/O,INPUT,,,,,,,,,
P33,Y<0>,O,I/O,OUTPUT,,,,,,,,,
P34,TIE,,.,,,,,,,,,,
P35,Y<1>,O,I/O,OUTPUT,,,,,,,,,
P36,Y<2>,O,I/O,OUTPUT,,,,,,,,,
P37,Y<3>,O,I/O,OUTPUT,,,,,,,,,
P38,VCC,,VCCIO,,,,,,,,,,
P39,A<2>,I,I/O,INPUT,,,,,,,,,
P40,B<2>,I,I/O,INPUT,,,,,,,,,
P41,A<3>,I,I/O,INPUT,,,,,,,,,
P42,B<3>,I,I/O,INPUT,,,,,,,,,
P43,TIE,,.,,,,,,,,,,
P44,GND,,GND,,,,,,,,,,
P45,TDI,,TDI,,,,,,,,,,
P46,TIE,,.,,,,,,,,,,
P47,TMS,,TMS,,,,,,,,,,
P48,TCK,,TCK,,,,,,,,,,
P49,SELECT,I,I/O,INPUT,,,,,,,,,
P50,nCSL,I,I/O,INPUT,,,,,,,,,
P51,VCC,,VCCIO,,,,,,,,,,
P52,A<4>,I,I/O,INPUT,,,,,,,,,
P53,B<4>,I,I/O,INPUT,,,,,,,,,
P54,A<5>,I,I/O,INPUT,,,,,,,,,
P55,B<5>,I,I/O,INPUT,,,,,,,,,
P56,Y<4>,O,I/O,OUTPUT,,,,,,,,,
P57,VCC,,VCCINT,,,,,,,,,,
P58,Y<5>,O,I/O,OUTPUT,,,,,,,,,
P59,TIE,,I/O,,,,,,,,,,
P60,TIE,,I/O,,,,,,,,,,
P61,TIE,,I/O,,,,,,,,,,
P62,GND,,GND,,,,,,,,,,
P63,TIE,,I/O,,,,,,,,,,
P64,TIE,,I/O,,,,,,,,,,
P65,TIE,,I/O,,,,,,,,,,
P66,Y<6>,O,I/O,OUTPUT,,,,,,,,,
P67,Y<7>,O,I/O,OUTPUT,,,,,,,,,
P68,A<6>,I,I/O,INPUT,,,,,,,,,
P69,GND,,GND,,,,,,,,,,
P70,B<6>,I,I/O,INPUT,,,,,,,,,
P71,A<7>,I,I/O,INPUT,,,,,,,,,
P72,B<7>,I,I/O,INPUT,,,,,,,,,
P73,TIE,,.,,,,,,,,,,
P74,TIE,,I/O,,,,,,,,,,
P75,GND,,GND,,,,,,,,,,
P76,TIE,,I/O,,,,,,,,,,
P77,nCSU<0>,I,I/O,INPUT,,,,,,,,,
P78,nCSU<1>,I,I/O,INPUT,,,,,,,,,
P79,CS,I,I/O,INPUT,,,,,,,,,
P80,TIE,,.,,,,,,,,,,
P81,A<8>,I,I/O,INPUT,,,,,,,,,
P82,B<8>,I,I/O,INPUT,,,,,,,,,
P83,TDO,,TDO,,,,,,,,,,
P84,GND,,GND,,,,,,,,,,
P85,A<9>,I,I/O,INPUT,,,,,,,,,
P86,B<9>,I,I/O,INPUT,,,,,,,,,
P87,Y<8>,O,I/O,OUTPUT,,,,,,,,,
P88,VCC,,VCCIO,,,,,,,,,,
P89,Y<9>,O,I/O,OUTPUT,,,,,,,,,
P90,Y<10>,O,I/O,OUTPUT,,,,,,,,,
P91,Y<11>,O,I/O,OUTPUT,,,,,,,,,
P92,A<10>,I,I/O,INPUT,,,,,,,,,
P93,B<10>,I,I/O,INPUT,,,,,,,,,
P94,A<11>,I,I/O,INPUT,,,,,,,,,
P95,B<11>,I,I/O,INPUT,,,,,,,,,
P96,TIE,,I/O,,,,,,,,,,
P97,TIE,,I/O,,,,,,,,,,
P98,VCC,,VCCINT,,,,,,,,,,
P99,TIE,,I/O/GSR,,,,,,,,,,
P100,GND,,GND,,,,,,,,,,

To preserve the pinout above for future design iterations in
Project Navigator simply execute the (Lock Pins) process
located under the (Implement Design) process in a toolbox named
(Optional Implementation Tools) or invoke PIN2UCF from the
command line. The location constraints will be written into your
specified UCF file


